model,contrast,target_budget_seconds,reference_budget_seconds,subject_id,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
lightgbm,600s_minus_300s,600,300,71e10186,0.0022454093282564536,0.002113191597803432,0.00482799221746788,-0.00033717356095464,0.0013625793153397847,0.0018204742378943317
lightgbm,600s_minus_300s,600,300,71f0603f,0.005361723725421763,0.004497711070866495,0.013342764607825908,-0.0026193171569821594,0.0008375984951021209,0.0038226717455923653
lightgbm,600s_minus_300s,600,300,71f21142,0.021773576189364485,0.045088207502146704,0.02506153976742198,0.01848561261130699,0.01877340339446887,0.04159085446990829
lightgbm,600s_minus_300s,600,300,8030618f,-0.02659134417044562,0.004257334255314715,0.06357094561962717,-0.1167536339605183,0.007868149477767039,0.01957627394721595
lightgbm,600s_minus_300s,600,300,8191f1d9,0.01592313763412767,0.11003936108958712,0.20684893359426232,-0.1750026583260067,0.023615873089732786,0.1614761795658365
lightgbm,600s_minus_300s,600,300,81e150c1,-0.003617025312355193,-0.003535024812627574,-0.009425456929759712,0.002191406305049437,-0.004586380331467521,-0.003782468777738246
lightgbm,600s_minus_300s,600,300,81f1f0fe,-0.0012399201067597732,-0.004561542370252414,-0.050068110500479435,0.04758827028695989,0.0008883240372555834,-0.0034777547382589535
lightgbm,600s_minus_300s,600,300,a02151ac,-0.0044621407773701716,-0.00552802570983324,0.025887395714432104,-0.03481167726917289,0.0040183954678081335,-0.00188441533392536
lightgbm,600s_minus_300s,600,300,a1721173,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,600s_minus_300s,600,300,a1b210fc,-0.03540501825111986,-0.0447428414848714,-0.035064483180071715,-0.03574555332216789,-0.0030995206717258084,-0.03170989483301756
lightgbm,600s_minus_300s,600,300,b0700166,-0.0018015508756794585,0.001056584197694721,0.002633362716675469,-0.006236464468034386,-0.004767321930701507,-0.0009293937223552318
lightgbm,600s_minus_300s,600,300,b112005d,-0.0012802778026232975,-0.018830195590120447,0.03580422758676194,-0.038364783192008756,0.0017297404651941406,-0.03008418514737099
lightgbm,600s_minus_300s,600,300,b1c2f044,0.04607374343682047,0.03913486160437263,-0.05914437999718958,0.15129186687083085,-0.00833010000920087,0.026386287360758542
lightgbm,600s_minus_300s,600,300,c060c06a,0.020653593672870674,0.02002284155361045,0.0645649564173496,-0.023257769071608037,0.005493971395162722,0.015432545692876665
lightgbm,600s_minus_300s,600,300,c112918e,0.04685042113466986,0.06361186233804494,0.008456368273065618,0.085244473996274,-0.006113893482792787,0.033069886860778386
lightgbm,600s_minus_300s,600,300,c1a150b1,-0.02596498618345977,-0.010744526868746718,0.05154346244771779,-0.103473434814637,0.031065187174318942,0.01793390815601925
lightgbm,600s_minus_300s,600,300,d0724095,0.01184188513910489,0.015583621392790126,-0.008584957280889594,0.032268727559099486,-0.0006000492103916955,0.008246653236197332
lightgbm,600s_minus_300s,600,300,d0e2d025,0.01622921244532083,0.012665462209975553,0.045540197314654085,-0.013081772424012539,-0.00834446471865502,0.005529111283162136
lightgbm,600s_minus_300s,600,300,d111e017,-0.0006222795967626427,-0.0003971434123226647,0.0021706594245275435,-0.0034152186180526067,-0.001089491765023376,-0.00040359398771938615
lightgbm,600s_minus_300s,600,300,d142d110,-0.012505516278834672,-0.015403952573125768,-0.013089373680506666,-0.011921658877162455,-0.020327671024116034,-0.019609072554374052
lightgbm,600s_minus_300s,600,300,d151b0c4,-0.010038789874798226,-0.0017818072819846265,0.01085196677074951,-0.03092954652034574,0.006216690951493131,0.004785242693695624
lightgbm,600s_minus_300s,600,300,d18000a3,0.008423260523946152,0.012792072808046395,0.034984364713627314,-0.01813784366573512,0.0038856911578381004,0.010932557160443168
lightgbm,600s_minus_300s,600,300,e0c0408a,-0.014121847499528384,-0.010352487454356463,0.022952477249747028,-0.051196172248803684,-0.005882688747168019,0.0009043400675546875
lightgbm,600s_minus_300s,600,300,f0f2a1e1,-0.006391206153933182,-0.003403674598451145,0.024610195435304405,-0.03739260774317099,0.005281863472239801,-0.0002204958229625742
lightgbm,600s_minus_300s,600,300,f121f1e0,0.008137604233948825,0.011123143281949077,-0.02184220287899652,0.03811741134689406,-0.0013435294746391158,0.010622578320902742
lightgbm,600s_minus_300s,600,300,f1a0c120,0.006693496234106422,0.012365063865219184,0.029577001919677826,-0.01619000945146498,0.011478648121298396,0.015196794019182835
lightgbm,600s_minus_300s,600,300,f1d06060,0.0364268045832975,0.04812902383446427,-0.030959208658134063,0.10381281782472929,0.008861529430602366,0.04912356582089705
lightgbm,900s_minus_300s,900,300,0001508a,0.058935693356608865,0.06502290511470532,0.06186192943713065,0.056009457276087526,0.008006941914250665,0.02282964580553748
lightgbm,900s_minus_300s,900,300,0012905a,0.025760395110033474,0.03552526923924881,-0.00551319285488594,0.057033983074953,0.016256339584063917,0.03342378101723187
lightgbm,900s_minus_300s,900,300,0110f12e,-0.0012915518650294944,0.0023632779771322054,0.00738579821232066,-0.00996890194237976,-0.007503710002627284,0.001950496957697223
lightgbm,900s_minus_300s,900,300,0182e16c,0.0760314312239283,0.07745177077569632,0.12359370826418326,0.028469154183673018,-0.03377888408544083,0.05676518230380445
lightgbm,900s_minus_300s,900,300,01c2a0d8,0.013653952900008814,0.02995424007276426,0.03643047920830522,-0.009122573408287704,-0.0032145049226167677,0.034108359678234
lightgbm,900s_minus_300s,900,300,1081b177,-0.01852843420399619,-0.01572419948055903,-0.045281697010727595,0.008224828602735101,-0.007080570104055051,-0.012273839965011302
lightgbm,900s_minus_300s,900,300,20201194,0.009364507635169828,0.013197125858862568,-0.09916879602809248,0.11789781129843246,0.020433939190588557,0.021872369652537138
lightgbm,900s_minus_300s,900,300,2162c09e,0.012325954369141634,0.019182079607132918,-0.0009003302131543878,0.025552238951437878,0.01180004981475713,0.01800901287167289
lightgbm,900s_minus_300s,900,300,2182c1cd,0.013391053162201016,0.010474388596091622,0.010044270675627076,0.016737835648774957,0.00966357660591377,0.0076912497286836246
lightgbm,900s_minus_300s,900,300,219060fa,0.015322270804825844,0.02432581429571612,-0.023832071953337697,0.05447661356298983,0.006533374428635219,0.011846689895469997
