model,budget_seconds,strategy,pm,participant_rows,class_eligible,adaptation_applied,delta_balanced_accuracy_mean,delta_macro_f1_mean,delta_low_recall_mean,delta_high_recall_mean,delta_precision_mean,delta_accuracy_mean
xgboost,120,empirical_balanced_accuracy,excitement,53,23,23,-0.025935390776034205,-0.03151312356102964,0.05274026390882322,-0.10461104546089163,-0.007501031474783345,-0.024971141712157724
xgboost,120,empirical_balanced_accuracy,focus,53,9,9,-0.004788727294217243,-0.01487088425704064,0.012523500444078869,-0.022100955032513366,-0.0006538765182429682,-0.01582176243927849
xgboost,120,empirical_balanced_accuracy,interest,52,27,27,0.004621722221013426,0.014403820715413804,0.0770689721053672,-0.06782552766334037,0.007668303053732135,0.015085880561322899
xgboost,120,empirical_balanced_accuracy,relaxation,53,11,11,0.0018242892202472857,0.0032659995358952677,0.01826776502711174,-0.014619186586617174,0.002273587130525909,0.0035360548205396157
xgboost,120,empirical_balanced_accuracy,stress,52,23,23,0.0057046360968768675,0.010611324655195273,0.04811024028473131,-0.036700968090977566,0.0010299239337263984,0.008575892413283161
xgboost,120,median_midpoint,attention,52,7,7,0.0015683144104924756,0.0010838033813965603,0.0037474746871562835,-0.0006108458661713343,-0.0015150582583669503,0.0004776313157294007
xgboost,120,median_midpoint,engagement,53,6,5,0.0004639767947381779,0.0009950388100763974,0.0018033305341963657,-0.0008753769447200109,-0.00197427710496272,-0.001061275274813874
xgboost,120,median_midpoint,excitement,53,23,23,-0.0033099869333455324,-0.0033410147327204553,0.03797692892743905,-0.04459690279413011,0.001590820789390592,-0.0006685821649406527
xgboost,120,median_midpoint,focus,53,9,7,-0.0006623981994203084,-0.005221107106126961,0.01928049054168212,-0.020605286940522743,-0.00016837591164796934,-0.007084346412669156
xgboost,120,median_midpoint,interest,52,27,25,0.007638952721248198,0.015873928261611693,0.04582923867064055,-0.030551333228144167,0.004928200357182438,0.015800633374389146
xgboost,120,median_midpoint,relaxation,53,11,11,0.0006167515568421084,0.0012851592722985528,0.003110605827132243,-0.0018771027134480245,0.0004450629137192986,0.0011038200850129302
xgboost,120,median_midpoint,stress,52,23,23,0.01229172083556634,0.016495073533313125,0.03649243680848451,-0.01190899513735183,-0.0007756362331639971,0.011620570404638484
xgboost,300,empirical_balanced_accuracy,attention,52,20,20,0.0012982585968935162,0.00852108204263614,0.019867988016206244,-0.017271470822419217,-0.0013490135978789658,0.008350406118622308
xgboost,300,empirical_balanced_accuracy,engagement,53,12,12,0.004713856674026166,0.0033869330955769643,0.0039577648341926385,0.005469948513859693,-0.0031688550468334403,-0.002540695475167114
xgboost,300,empirical_balanced_accuracy,excitement,53,39,39,-0.022191953067136973,-0.026253682099922664,0.07451145875476228,-0.11889536488903625,-0.0068552460711443,-0.019685072998406987
