model,budget_seconds,budget_role,strategy,strategy_role,subject_id,n_adapted_pm,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
lightgbm,300,primary,median_midpoint,primary,0110f12e,6,0.002333957967181536,-0.00261810690554265,0.04920621245007051,-0.044538296515707364,0.0061868998955117065,-0.0023297451033688077
lightgbm,300,primary,median_midpoint,primary,0182e16c,2,0.11268179247592275,0.16746346960211544,0.022470942746448577,0.202892642205397,0.0511699611664872,0.15622230886470775
lightgbm,300,primary,median_midpoint,primary,01c2a0d8,6,0.004249018672284517,-0.006637456133720372,0.16747613367815564,-0.15897809633358664,0.01827699228904835,-0.030086688604577676
lightgbm,300,primary,median_midpoint,primary,1081b177,6,0.0357803682020007,0.04022749333440693,0.12258336430428639,-0.051022627900284945,0.0018397126707289102,0.031961363300474555
lightgbm,300,primary,median_midpoint,primary,20201194,5,0.06764622777052876,0.06956760893637463,0.16834021082799455,-0.03304775528693704,-0.002277877855472665,0.04448159372495719
lightgbm,300,primary,median_midpoint,primary,2162c09e,6,0.02650711353846937,0.00978702700177179,0.12743964178752948,-0.07442541471059078,0.005791819560577079,-0.007132223186553248
lightgbm,300,primary,median_midpoint,primary,2182c1cd,7,0.020943254814057993,0.03132176655376086,0.093912070142021,-0.05202556051390501,0.003052253648769202,0.0294680491824268
lightgbm,300,primary,median_midpoint,primary,219060fa,2,0.04587073863987745,0.034687525190550905,0.08795996467471295,0.0037815126050419895,-0.01482142802473907,0.014871640801442099
lightgbm,300,primary,median_midpoint,primary,21a031f6,1,-0.05591944287596462,-0.0716533061492165,0.1366459627329193,-0.24848484848484853,0.00478235461949994,-0.05828220858895705
lightgbm,300,primary,median_midpoint,primary,30908049,2,0.027448845553397716,-0.07350040154109766,0.2702403542061986,-0.21534266309940314,-0.11020730416391422,-0.13790555579012126
lightgbm,300,primary,median_midpoint,primary,30c140ca,3,0.0070162111301727,0.020949923402188524,-0.037584383791529695,0.051616806051874985,-0.00027211959500824295,0.0202598183520305
lightgbm,300,primary,median_midpoint,primary,40009139,4,0.013171574620392063,0.020380198425796525,0.17883974064959618,-0.15249659140881205,0.008648944252848123,0.020922220968075694
lightgbm,300,primary,median_midpoint,primary,40f0714a,3,0.01428571428571431,0.018962617116267382,0.0,0.02857142857142858,0.004150702426564494,0.010000000000000009
lightgbm,300,primary,median_midpoint,primary,41e2010c,4,0.08354615993000747,0.08906413021714209,0.09947691197691197,0.067615407883103,-0.0036653291182671965,0.05744218625554667
lightgbm,300,primary,median_midpoint,primary,5001d09a,6,0.01984194533172597,0.02141804797004554,-0.02745578338798682,0.06713967405143877,0.0019808709569631433,0.01829922914311627
lightgbm,300,primary,median_midpoint,primary,50c02189,5,0.09832790222167798,0.15894121913942383,0.36326613054753254,-0.16661032610417664,0.024351555312377093,0.08313645558592919
lightgbm,300,primary,median_midpoint,primary,517001af,4,0.02638025565297039,0.026656664159310506,0.19705882352941176,-0.14429831222347092,-0.0028862342164835686,0.04293332361059346
lightgbm,300,primary,median_midpoint,primary,6030f0fd,4,0.027531138783252168,0.03370282286237322,-0.03455000145881823,0.0896122790253225,0.015271912944424093,0.026830616086879505
lightgbm,300,primary,median_midpoint,primary,7072a0e0,4,0.0059953076337487254,0.032603944556115705,-0.06800822600518941,0.07999884127268682,0.016464063731683187,0.04137529143838167
lightgbm,300,primary,median_midpoint,primary,7092f07b,4,-0.017919043938245033,-0.022026117832323583,-0.04206218413535488,0.006224096258864754,-0.005318715862149798,-0.0035423453609655098
lightgbm,300,primary,median_midpoint,primary,7150e10a,1,0.006906057821446154,0.00030881619759481893,0.08372093023255822,-0.06990881458966569,-0.0113320991019642,-0.009191176470588203
lightgbm,300,primary,median_midpoint,primary,71a251fa,3,-0.03962378656326748,-0.035930493982978685,0.042716718569442,-0.12196429169597696,-0.017688651119835936,-0.0332509961330922
lightgbm,300,primary,median_midpoint,primary,71c09041,4,-0.12632650886757346,-0.10602779698975087,0.046281819357584825,-0.29893483709273183,-0.011962760384835708,-0.05100539393357384
lightgbm,300,primary,median_midpoint,primary,71e10186,6,0.0009531447925663072,0.0010601667710973632,0.0024809182085417567,-0.0005746286234091236,0.000557368229805529,0.0010028479007202125
lightgbm,300,primary,median_midpoint,primary,71f0603f,6,-0.0001453186215394179,-0.006541049996996858,0.02956322934094079,-0.029853866584019634,-0.00038045690522979053,-0.0077987382124125966
lightgbm,300,primary,median_midpoint,primary,71f21142,2,0.0,0.0,0.0,0.0,0.0,0.0
