model,outer_fold,pm,subject_id,delta_balanced_accuracy_vs_xgboost,delta_f1_vs_xgboost,delta_roc_auc_vs_xgboost,delta_pr_auc_vs_xgboost,delta_low_recall_vs_xgboost,delta_high_recall_vs_xgboost,delta_precision_vs_xgboost,delta_accuracy_vs_xgboost
random_forest,4,interest,f1a0c120,0.048336121955753875,0.021342999109127958,-0.03330854557848417,-0.007160012634430002,0.12121212121212122,-0.024539877300613577,-0.08793510050282538,-0.007207207207207356
random_forest,4,focus,01c2a0d8,0.029818335893226022,0.03870426945085359,-0.048064191515279964,-0.036827938934174576,0.1265822784810127,-0.06694560669456062,-0.0008739000710454858,-0.018867924528301883
random_forest,4,focus,30908049,-0.07437396911081118,-0.014347403184423846,-0.036474733843154805,-0.005846052189715567,-0.18518518518518512,0.036437246963562764,0.015714655837564928,0.014598540145985384
random_forest,4,focus,40009139,-0.020019745502413366,-0.031266198952921265,-0.030824923211935085,-0.0515024704808541,-0.08720930232558133,0.047169811320754707,-0.033047746090077545,-0.03597122302158273
random_forest,4,focus,7092f07b,0.013667783829074187,0.015309659427040434,-0.06810326770004183,-0.038032612519884545,0.004608294930875556,0.022727272727272707,0.015867251532590165,0.00983606557377048
random_forest,4,focus,8030618f,-0.05621031242062491,-0.06260153039034799,-0.05471170942341885,-0.07227606516025831,-0.025806451612903403,-0.08661417322834641,-0.056308604272299445,-0.05319148936170215
random_forest,4,focus,a1b210fc,-0.03344988344988342,-0.04478387682251572,0.052389277389277344,0.02075057493139776,0.05128205128205132,-0.1181818181818182,-0.005137024184270755,-0.0029069767441860517
random_forest,4,focus,b112005d,-0.027923410075222255,-0.03400870973468173,-0.016483359927057184,-0.04150061867620236,0.060975609756097615,-0.11682242990654201,-0.030477280619842673,-0.03968253968253965
random_forest,4,focus,b1c2f044,-0.01203235302523653,-0.002842525754429115,-0.02783732030066599,-0.006348100803884593,0.02180685358255452,-0.04587155963302758,0.004645213235676127,0.0046511627906976605
random_forest,4,focus,d151b0c4,0.030296754702270667,-0.007645017538418508,0.04072458824675962,0.025177945969661386,0.16935483870967738,-0.10876132930513593,-0.021987608503651,-0.03296703296703296
random_forest,4,focus,f1a0c120,0.04796580188679245,0.05461304621094709,0.04345518867924547,0.052816986962286205,0.049056603773584895,0.046875,0.07227446453496134,0.0483460559796437
