temporal_model,tabular_model,outer_fold,pm,subject_id,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,lightgbm,2,stress,517001af,0.049019607843137414,-0.0035650623885917776,0.019607843137254832,0.003387884195782176,0.1333333333333332,-0.03529411764705881,-0.03860294117647056,-0.009999999999999898
torch_lstm,lightgbm,2,stress,6030f0fd,-0.0567321438026156,-0.05186534517133068,-0.07878434902313769,-0.07425196229853648,0.005347593582887611,-0.1188118811881188,-0.029427728945984444,-0.03819444444444453
torch_lstm,lightgbm,2,stress,7072a0e0,-0.04479405034324935,-0.03173343927375705,-0.0335240274599542,-0.007611598618242454,-0.08695652173913038,-0.0026315789473684292,-0.028962768092437252,-0.022222222222222254
torch_lstm,lightgbm,2,stress,71a251fa,0.1472007722007722,0.15888888888888897,0.03281853281853264,0.023764733509221037,0.3214285714285715,-0.027027027027026973,0.04682077466193313,0.12307692307692308
torch_lstm,lightgbm,2,stress,71c09041,0.23015873015873023,0.1661607721428328,,,,0.23015873015873023,0.0,0.23015873015873023
torch_lstm,lightgbm,2,stress,a02151ac,-0.11848782484141596,-0.15434631173495417,-0.07808471454880306,-0.08298011861607613,-0.22592592592592597,-0.01104972375690616,-0.07078521550727335,-0.13968957871396903
torch_lstm,lightgbm,2,stress,d0e2d025,-0.14021453216274393,-0.15305602522160022,-0.11821473712977815,-0.09821632939227676,-0.09589041095890416,-0.1845386533665836,-0.11219115268125213,-0.16087751371115178
torch_lstm,lightgbm,2,stress,d18000a3,0.012135922330096971,0.03717381995769242,0.005282695602512599,0.0008650382314111527,0.0,0.024271844660194386,0.06152914827483791,0.020833333333333592
torch_lstm,lightgbm,2,stress,f0f2a1e1,0.021885044431839695,0.022074942731522995,0.05152202684817542,0.0709541096120494,0.019379844961240345,0.024390243902439046,0.021214439433239862,0.02099737532808399
torch_lstm,lightgbm,2,relaxation,1081b177,-0.031069035070596662,-0.023103650215472116,-0.009759906304899424,-0.027924291840038307,-0.007092198581560294,-0.05504587155963303,-0.0243025505414749,-0.020460358056266004
torch_lstm,lightgbm,2,relaxation,517001af,-0.061669878639512454,-0.0056525824146334,0.017657169644252013,0.04446667663459125,0.0684410646387833,-0.1917808219178082,0.04893156336238125,0.011904761904761862
torch_lstm,lightgbm,2,relaxation,6030f0fd,-0.02901104063894766,-0.04031847713212722,-0.04525878944483597,-0.02790102488515389,0.0505050505050505,-0.10852713178294571,-0.008548389582370142,-0.03947368421052633
torch_lstm,lightgbm,2,relaxation,7072a0e0,-0.12842972113045104,-0.11371753754154956,-0.09249485307879468,-0.06536515570552182,-0.2773722627737226,0.02051282051282055,-0.10062684537241129,-0.10240963855421692
torch_lstm,lightgbm,2,relaxation,71a251fa,0.03323720792664875,0.012768598612518445,0.010869565217391353,0.024321617768926385,-0.0748299319727892,0.14130434782608692,-0.004731989590697205,0.008368200836819994
torch_lstm,lightgbm,2,relaxation,71c09041,0.15293088827644696,0.16390049196091494,0.0007949968200128277,0.0018497416074789719,0.348314606741573,-0.04245283018867918,0.05787445714386963,0.13589743589743586
torch_lstm,lightgbm,2,relaxation,a02151ac,-0.26526507219221873,-0.39856355568775265,-0.16468275836731683,-0.14595297868295531,-0.6395348837209304,0.1090047393364928,-0.20074782450397777,-0.30277185501066106
torch_lstm,lightgbm,2,relaxation,d0e2d025,-0.0714109216703731,-0.0831105098042545,-0.09301007282082574,-0.06749091577710653,-0.03755868544600938,-0.10526315789473689,-0.060150560724754665,-0.07835820895522394
torch_lstm,lightgbm,2,relaxation,d18000a3,-0.11454496208017328,-0.11039220057933974,-0.05523654749006868,-0.03790336881477607,-0.3098591549295774,0.0807692307692307,-0.07148299798203095,-0.09513742071881615
torch_lstm,lightgbm,2,relaxation,f0f2a1e1,-0.09423926134082705,-0.15074587920203242,-0.009283420313127344,-0.029413277850849573,-0.2735849056603774,0.08510638297872342,-0.09795960475583709,-0.1633986928104576
torch_lstm,lightgbm,2,interest,1081b177,-0.08418880937668183,-0.06976503928263278,-0.16498893695058503,-0.11467718843369545,0.035242290748898786,-0.20361990950226228,-0.1540041182856603,-0.0825892857142857
torch_lstm,lightgbm,2,interest,517001af,-0.16766777133388566,-0.10380843744218538,-0.07000828500414236,-0.12024573303232067,0.26760563380281677,-0.6029411764705882,0.032045168547642944,-0.014285714285714235
torch_lstm,lightgbm,2,interest,6030f0fd,0.007225254279335069,0.018020385408696438,-0.10382039196229231,-0.08369400369630187,-0.0431034482758621,0.05755395683453235,-0.009985736246593713,0.01176470588235301
