temporal_model,tabular_model,outer_fold,pm,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,lightgbm,4,attention,-0.02268844885221899,-0.05396376247475376,-0.051756395611192274,-0.060315865504598554,-0.11694438500568882,0.07156748730125073,-0.08518500949259122,-0.04851256488708511
torch_lstm,lightgbm,4,engagement,-0.04049464375656797,-0.046381725729574996,-0.004695308134756715,-0.015816570773518057,-0.0011563412267846518,-0.07983294628635107,-0.03710794209851298,-0.036812914730523616
torch_lstm,lightgbm,4,excitement,-0.00033760660701664946,-0.0048364868651533666,0.008024480518581179,0.01102496201511094,0.021406851746471944,-0.02208206496050491,-0.01725174691148934,-0.010011598936488064
torch_lstm,lightgbm,4,stress,-0.030928106082392492,-0.06289955338049613,-0.08051830118089887,-0.045435894490173045,0.10944594034545219,-0.17130215251023695,-0.016132426551033863,-0.07696933188862098
torch_lstm,lightgbm,4,relaxation,-0.04885749256257588,-0.051689792447643934,-0.03266385324718657,-0.03935799366853965,0.04793177712656238,-0.14564676225171425,-0.02513753135177288,-0.039644550755480235
torch_lstm,lightgbm,4,interest,-0.07528795089216112,-0.09340701035630228,-0.09993628329951865,-0.05018716799688394,-0.04206963708866551,-0.1085062646956566,-0.08827882940510856,-0.0902673966082832
torch_lstm,lightgbm,4,focus,0.07434672224353478,0.08089266879814283,0.09844691177401832,0.1216860673068908,0.0666617298594746,0.08203171462759473,0.09662860547383278,0.06332692909621185
torch_lstm,lightgbm,5,attention,-0.13317953212550293,-0.17385828654352964,-0.11740346967097237,-0.11468398907315114,-0.2561226538035086,-0.03352028806599794,-0.10730683091856186,-0.16400006561922054
torch_lstm,lightgbm,5,engagement,-0.009029565780631743,-0.027197749345813982,-0.014155249024944916,-0.025015386660540595,-0.008690481876033829,-0.009368649685229546,-0.037046031409392,-0.0420250659724668
torch_lstm,lightgbm,5,excitement,0.006532456912522355,0.009295579430261713,-0.014321186890712378,-0.019934886383177752,0.014491297967292205,-0.0014263841422473833,-0.0011714480770821378,0.0124577700593268
torch_lstm,lightgbm,5,stress,-0.016028420717401404,-0.007216647053012837,-0.05275374282963963,-0.024388161324624735,-0.0056623555923625,-0.026394485842440196,-0.04031284263415924,-0.014079840127900423
torch_lstm,lightgbm,5,relaxation,-0.05470866106564065,-0.07523640551680022,-0.03749544371163527,-0.045627118082660845,-0.030763764835292307,-0.078653557295989,-0.04129317913320629,-0.05983552860558239
torch_lstm,lightgbm,5,interest,-0.043173737371642096,-0.07199181593761705,-0.039850380566618715,-0.038069686202000796,-0.07347273371666307,-0.021826807728135944,-0.020948888618592565,-0.06758078573070736
torch_lstm,lightgbm,5,focus,0.05305687605575338,0.029088600460695835,0.09697942735869125,0.09709888180602921,-0.05191717852302469,0.15803093063453122,0.016273769359145263,0.027330700135833053
torch_lstm,xgboost,1,attention,-0.08515144170973266,-0.11754702077469226,-0.11428076602622139,-0.08450810431412825,-0.06199037692045095,-0.1083125064990147,-0.06335440020371397,-0.09214887099790348
torch_lstm,xgboost,1,engagement,-0.05513795337579508,-0.07071785680748455,-0.03935942977241991,-0.023074411443440468,-0.2046924788464637,0.09441657209487408,-0.027784768434409357,-0.042011715973818364
torch_lstm,xgboost,1,excitement,-0.017221006565032115,-0.03301025648191813,-0.003913278314373159,-0.0036782141189029005,-0.03785827218796112,0.0034162590578972196,-0.019560192036298996,-0.03572759226450384
torch_lstm,xgboost,1,stress,0.006013749036965499,-0.0008494640848264456,0.020210320596614206,0.017603990486658283,0.0033967803314239875,0.0086307177425069,-0.025983054734143862,0.007097988311138392
torch_lstm,xgboost,1,relaxation,-0.0023763162973736707,-0.0082401606757051,-0.0034976084394757745,-0.0011238410798692922,0.009410276305563015,-0.014162908900310356,-0.06635082381037838,-0.0039057423053219242
